show,date,name,gender
Meet the Press,4/19/09,Richard Stengel,m
Meet the Press,4/19/09,Richard K. Armey,m
Meet the Press,4/19/09,Nina Easton,f
Meet the Press,4/19/09,Steve Pearlstein,m
Meet the Press,4/19/09,Larry Summers,m
State of the Union,4/19/09,Amy Klobuchar,f
State of the Union,4/19/09,Janet Napolitano,f
State of the Union,4/19/09,John Ensign,m
This Week,4/19/09,Sam Donaldson,m
This Week,4/19/09,Peggy Noonan,f
This Week,4/19/09,Rahm Emanuel ,m
This Week,4/19/09,John A. Boehner,m
This Week,4/19/09,George Will,m
This Week,4/19/09,Cokie Roberts,f
Face the Nation,4/26/09,Bob Woodward,m
Face the Nation,4/26/09,John McCain,m
Face the Nation,4/26/09,Tina Brown,f
Face the Nation,4/26/09,Patrick J. Leahy,m
Fox News Sunday,4/26/09,Carl Levin,m
Fox News Sunday,4/26/09,Bill Kristol,m
Fox News Sunday,4/26/09,Mara Liasson,f
Fox News Sunday,4/26/09,Brit Hume,m
Fox News Sunday,4/26/09,Christopher S. Bond,m
Fox News Sunday,4/26/09,Larry Summers,m
Fox News Sunday,4/26/09,Juan Williams,m
Meet the Press,4/26/09,Robert Gibbs,m
Meet the Press,4/26/09,Jon Meacham,m
Meet the Press,4/26/09,Doris Kearns Goodwin,f
Meet the Press,4/26/09,King Abdullah II of Jordan,m
State of the Union,4/26/09,Pete Souza,m
State of the Union,4/26/09,Dianne Feinstein,f
State of the Union,4/26/09,Lindsey Graham,m
State of the Union,4/26/09,Valerie Jarrett,f
State of the Union,4/26/09,Joseph I. Lieberman,m
This Week,4/26/09,Donna Brazile,f
This Week,4/26/09,Chrystia Freeland,f
This Week,4/26/09,Mahmoud Ahmadinejad,m
This Week,4/26/09,David Sanger,m
This Week,4/26/09,Matthew Dowd,m
This Week,4/26/09,George Will,m
Face the Nation,5/3/09,Arlen Specter,m
Face the Nation,5/3/09,Janet Napolitano,f
Face the Nation,5/3/09,Richard Besser,m
Face the Nation,5/3/09,Kathleen Sebelius,f
Fox News Sunday,5/3/09,Richard J. Durbin,m
Fox News Sunday,5/3/09,Bill Kristol,m
Fox News Sunday,5/3/09,Mara Liasson,f
Fox News Sunday,5/3/09,Janet Napolitano,f
Fox News Sunday,5/3/09,John Ensign,m
Fox News Sunday,5/3/09,Richard Besser,m
Fox News Sunday,5/3/09,Kathleen Sebelius,f
Fox News Sunday,5/3/09,Juan Williams,m
Fox News Sunday,5/3/09,Laura Ingraham,f
Meet the Press,5/3/09,Arlen Specter,m
Meet the Press,5/3/09,Joe Scarborough,m
Meet the Press,5/3/09,Janet Napolitano,f
Meet the Press,5/3/09,Richard Besser,m
Meet the Press,5/3/09,Kathleen Sebelius,f
Meet the Press,5/3/09,Ed Gillespie,m
State of the Union,5/3/09,Mitt Romney,m
State of the Union,5/3/09,Eric Cantor ,m
